budget,type,amount,percent,percent remaining,amount remaining
Household<br>Supplies,Spent,131.56,100,100,$40.00
Household<br>Supplies,Budget Remaining,40.00,100,0,$40.00
Household<br>Supplies,Overbudget,131.56,100,228.90000000000003,$91.56
Internet,Spent,0.00,0.0,0.0,$0.00
Internet,Budget Remaining,50.00,100,100.0,$50.00
Clothing,Spent,0.00,0.0,0.0,$0.00
Clothing,Budget Remaining,50.00,100,100.0,$50.00
Mobile<br>Phone,Spent,0.00,0.0,0.0,$0.00
Mobile<br>Phone,Budget Remaining,60.00,100,100.0,$60.00
Amusement,Spent,97.28,100,100,$75.00
Amusement,Budget Remaining,75.00,100,0,$75.00
Amusement,Overbudget,97.28,100,29.70666666666665,$22.28
Auto<br>Insurance,Spent,0.00,0.0,0.0,$0.00
Auto<br>Insurance,Budget Remaining,100.00,100,100.0,$100.00
Dates,Spent,0.00,0.0,0.0,$0.00
Dates,Budget Remaining,100.00,100,100.0,$100.00
Fuel,Spent,0.00,0.0,0.0,$0.00
Fuel,Budget Remaining,125.00,100,100.0,$125.00
Auto<br>Payment,Spent,0.00,0.0,0.0,$0.00
Auto<br>Payment,Budget Remaining,159.00,100,100.0,$159.00
Utilities,Spent,24.50,7.000000000000001,7.000000000000001,$24.50
Utilities,Budget Remaining,350.00,100,93.0,$325.50
Tithing,Spent,0.00,0.0,0.0,$0.00
Tithing,Budget Remaining,369.00,100,100.0,$369.00
Groceries,Spent,310.21,77.5525,77.5525,$310.21
Groceries,Budget Remaining,400.00,100,22.447500000000005,$89.79
Mortgage,Spent,1468.29,99.95166780122531,99.95166780122531,$1468.29
Mortgage,Budget Remaining,1469.00,100,0.04833219877468764,$0.71
